"","cell","pseudotime"
"CtrlhFb_0_0","CtrlhFb",0.0118974692950101
"CtrlhFb_0_1","CtrlhFb",0
"CtrlhFb_0_2","CtrlhFb",0
"CtrlhFb_0_3","CtrlhFb",0.0158446930202002
"CtrlhFb_0_5","CtrlhFb",0.463634998112575
"CtrlhFb_0_6","CtrlhFb",0.486369559215735
"CtrlhFb_0_7","CtrlhFb",0.472357848620005
"CtrlhFb_0_8","CtrlhFb",0.479611371503245
"CtrlhFb_0_9","CtrlhFb",0.417893329155374
"CtrlhFb_0_10","CtrlhFb",0.389809619152704
"CtrlhFb_0_11","CtrlhFb",0.0610098574602906
"CtrlhFb_0_12","CtrlhFb",0.0687946128369807
"CtrlhFb_0_13","CtrlhFb",0.114298968222011
"CtrlhFb_0_14","CtrlhFb",0.120769552399151
"CtrlhFb_0_15","CtrlhFb",0.136311676595401
"CtrlhFb_0_16","CtrlhFb",0.438337324120654
"CtrlhFb_0_17","CtrlhFb",0.403176217097854
"CtrlhFb_0_18","CtrlhFb",0.431649976483044
"CtrlhFb_0_19","CtrlhFb",0.325869355440533
"CtrlhFb_0_20","CtrlhFb",0.195656073489812
"CtrlhFb_0_21","CtrlhFb",0.238081534038342
"CtrlhFb_0_22","CtrlhFb",0.272769961287063
"CtrlhFb_0_23","CtrlhFb",0.316103045385903
"CtrlhFb_0_24","CtrlhFb",0.338709534236023
"CtrlhFb_0_25","CtrlhFb",0.327987806319593
"CtrlhFb_0_26","CtrlhFb",0.133520251172031
"CtrlhFb_0_27","CtrlhFb",0.0506893576736705
"CtrlhFb_0_28","CtrlhFb",0.126146571724741
"CtrlhFb_0_29","CtrlhFb",0.108878909548601
"CtrlhFb_0_30","CtrlhFb",0.178493416645312
"CtrlhFb_1_0","CtrlhFb",0.911846986497749
"CtrlhFb_1_1","CtrlhFb",0.9804327568338
"CtrlhFb_1_2","CtrlhFb",0.873759563055959
"CtrlhFb_1_3","CtrlhFb",0.927104786425449
"CtrlhFb_1_4","CtrlhFb",0
"CtrlhFb_1_5","CtrlhFb",0.906962828145609
"CtrlhFb_1_6","CtrlhFb",0.918507060514369
"CtrlhFb_1_7","CtrlhFb",0.786704153797458
"CtrlhFb_1_8","CtrlhFb",0.820808445670808
"CtrlhFb_1_9","CtrlhFb",0.807173295233108
"CtrlhFb_1_10","CtrlhFb",0.799602459786958
"CtrlhFb_1_11","CtrlhFb",0.798863976913678
"CtrlhFb_1_12","CtrlhFb",0.801614926403218
"CtrlhFb_1_13","CtrlhFb",0.808368379813628
"CtrlhFb_1_14","CtrlhFb",0.821243420482728
"CtrlhFb_1_15","CtrlhFb",0.830903193176148
"CtrlhFb_1_16","CtrlhFb",0.921959593817999
"CtrlhFb_1_17","CtrlhFb",0.799602459786958
"CtrlhFb_1_18","CtrlhFb",0.808528524212228
"CtrlhFb_1_19","CtrlhFb",0.791496858584838
"CtrlhFb_1_20","CtrlhFb",0.789802925259618
"CtrlhFb_1_21","CtrlhFb",1
"CtrlhFb_1_22","CtrlhFb",1
"CtrlhFb_1_23","CtrlhFb",1
"CtrlhFb_1_24","CtrlhFb",0.803659422416308
"CtrlhFb_1_26","CtrlhFb",0.820808445670808
"CtrlhFb_1_27","CtrlhFb",0.826724287068018
"CtrlhFb_1_28","CtrlhFb",0.792761190117068
"CtrlhFb_1_29","CtrlhFb",0.799482860760668
"CtrlhFb_1_30","CtrlhFb",0.813319534407508
"CtrlhFb_1_31","CtrlhFb",1
"CtrlhFb_1_32","CtrlhFb",1
"CtrlhFb_1_33","CtrlhFb",1
"CtrlhFb_1_34","CtrlhFb",0.933578623489369
"CtrlhFb_1_35","CtrlhFb",0.807247680488648
"CtrlhFb_1_36","CtrlhFb",1
"CtrlhFb_1_37","CtrlhFb",1
"CtrlhFb_1_38","CtrlhFb",0.818308673394908
"CtrlhFb_1_39","CtrlhFb",0.809414682598198
"CtrlhFb_1_40","CtrlhFb",1
"CtrlhFb_1_41","CtrlhFb",0.903001202022699
"CtrlhFb_1_42","CtrlhFb",0.816436918898498
"CtrlhFb_1_43","CtrlhFb",0.802973772083008
"CtrlhFb_1_44","CtrlhFb",0.818308673394908
"CtrlhFb_1_45","CtrlhFb",0.841881916333838
"CtrlhFb_1_46","CtrlhFb",0.886465361494909
"CtrlhFb_1_47","CtrlhFb",0.795421300536498
"CtrlhFb_1_48","CtrlhFb",0.813319534407508
"CtrlhFb_1_49","CtrlhFb",0.819391886467488
"CtrlhFb_1_50","CtrlhFb",0.813899639598178
"CtrlhFb_1_51","CtrlhFb",0.893913804740609
"CtrlhFb_1_52","CtrlhFb",0.788485165088678
"CtrlhFb_1_53","CtrlhFb",1
"CtrlhFb_1_54","CtrlhFb",0.892159586273789
"CtrlhFb_1_55","CtrlhFb",0.99816583970432
"CtrlhFb_1_56","CtrlhFb",1
"CtrlhFb_1_57","CtrlhFb",0.96486573953433
"CtrlhFb_1_58","CtrlhFb",1
"CtrlhFb_1_59","CtrlhFb",1
"CtrlhFb_2_0","CtrlhFb",0.725923529915027
"CtrlhFb_2_1","CtrlhFb",0.565913820924456
"CtrlhFb_2_2","CtrlhFb",0.869978957404569
"CtrlhFb_2_3","CtrlhFb",0.778736658555778
"CtrlhFb_2_4","CtrlhFb",0.134688233524461
"CtrlhFb_2_5","CtrlhFb",0.0940032307374209
"CtrlhFb_2_6","CtrlhFb",0.173045788063822
"CtrlhFb_2_7","CtrlhFb",0.216567817134212
"CtrlhFb_2_8","CtrlhFb",0.143132170025421
"CtrlhFb_2_9","CtrlhFb",0.195635119866852
"CtrlhFb_2_10","CtrlhFb",0.0502992425522105
"CtrlhFb_2_11","CtrlhFb",0.201388747090822
"CtrlhFb_2_12","CtrlhFb",0.121594134984811
"CtrlhFb_2_13","CtrlhFb",0.110143139064891
"CtrlhFb_2_14","CtrlhFb",0.117035748643201
"CtrlhFb_2_15","CtrlhFb",0.278784123382073
"CtrlhFb_2_16","CtrlhFb",0.147003534171711
"CtrlhFb_2_17","CtrlhFb",0.0344824407070803
"CtrlhFb_2_18","CtrlhFb",0.784515552597718
"CtrlhFb_2_19","CtrlhFb",0.528422886771795
"CtrlhFb_2_20","CtrlhFb",0.506892950703005
"CtrlhFb_2_21","CtrlhFb",0.553892417250796
"CtrlhFb_2_22","CtrlhFb",0.483612966811465
"CtrlhFb_2_23","CtrlhFb",0.186495520282952
"CtrlhFb_2_24","CtrlhFb",0.0810858691438108
"CtrlhFb_2_25","CtrlhFb",0.120538120442351
"CtrlhFb_2_26","CtrlhFb",0.127005993467241
"CtrlhFb_2_27","CtrlhFb",0.184555068767902
"CtrlhFb_2_28","CtrlhFb",0.444660879827044
"CtrlhFb_2_29","CtrlhFb",0.633116285957646
"CtrlhFb_3_0","CtrlhFb",0.564704688334356
"CtrlhFb_3_1","CtrlhFb",0.542986581291165
"CtrlhFb_3_2","CtrlhFb",0.527957961235265
"CtrlhFb_3_3","CtrlhFb",0.535772545967365
"CtrlhFb_3_4","CtrlhFb",0.00215181141029002
"CtrlhFb_3_5","CtrlhFb",0.538598158464745
"CtrlhFb_3_6","CtrlhFb",0.631596812588356
"CtrlhFb_3_7","CtrlhFb",0.128002236039121
"CtrlhFb_3_8","CtrlhFb",0.108310675111611
"CtrlhFb_3_9","CtrlhFb",0.578225006739236
"CtrlhFb_3_10","CtrlhFb",0.237930449652972
"CtrlhFb_3_11","CtrlhFb",0.118027925297601
"CtrlhFb_3_12","CtrlhFb",0.710179012194197
"CtrlhFb_3_13","CtrlhFb",0.680595903546687
"CtrlhFb_3_14","CtrlhFb",0.136554420237361
"CtrlhFb_3_15","CtrlhFb",0.334964517072913
"CtrlhFb_3_16","CtrlhFb",0.128058248322291
"CtrlhFb_3_17","CtrlhFb",1
"CtrlhFb_3_18","CtrlhFb",0.558778291573006
"CtrlhFb_3_19","CtrlhFb",0.0632929825891406
"CtrlhFb_3_20","CtrlhFb",0.460304588245065
"CtrlhFb_3_21","CtrlhFb",0.243630207994412
"CtrlhFb_3_22","CtrlhFb",0.109628732371171
"CtrlhFb_3_23","CtrlhFb",0.574819465844486
"CtrlhFb_3_24","CtrlhFb",0.182796095674762
"CtrlhFb_3_25","CtrlhFb",0.396878084159444
"CtrlhFb_3_26","CtrlhFb",0.180354312102462
"CtrlhFb_3_27","CtrlhFb",0.118302974054381
"CtrlhFb_3_28","CtrlhFb",0.515780793138255
"CtrlhFb_3_29","CtrlhFb",0.123401928504251
"CtrlhFb_3_30","CtrlhFb",0.0617248921814506
"CtrlhFb_3_31","CtrlhFb",0.129485888737721
"HK06h_2_0","HK06h",0.517566726557585
"HK06h_2_1","HK06h",0.657175890041927
"HK06h_2_2","HK06h",0.0509583038221505
"HK06h_2_3","HK06h",0.0707088474643107
"HK06h_2_4","HK06h",0.0481627223915405
"HK06h_2_5","HK06h",6.08129321800006e-05
"HK06h_2_6","HK06h",0.0251727310315703
"HK06h_2_7","HK06h",0.0285912520827403
"HK06h_2_8","HK06h",0.0658101181764907
"HK06h_2_9","HK06h",0.0463225563561105
"HK06h_2_10","HK06h",0.0153976734536902
"HK06h_2_11","HK06h",0.885011189893329
"HK06h_2_12","HK06h",0.0797372811772608
"HK06h_2_13","HK06h",0.552031166175146
"HK06h_2_14","HK06h",0.131800851300151
"HK06h_2_16","HK06h",0.0861181004316509
"HK06h_2_17","HK06h",0
"HK06h_2_18","HK06h",0.186585994402442
"HK06h_2_19","HK06h",0.133104869145011
"HK06h_2_20","HK06h",0.572604978901966
"HK06h_2_21","HK06h",0.102996487798441
"HK06h_2_22","HK06h",0.00185848630572002
"HK06h_2_23","HK06h",0.170534529153302
"HK06h_2_24","HK06h",0.444179990295244
"HK06h_2_25","HK06h",0.0370343470585104
"HK06h_2_26","HK06h",0.0130335123148401
"HK06h_2_27","HK06h",0
"HK06h_2_28","HK06h",0.770563808656848
"HK06h_2_29","HK06h",0
"HK06h_2_30","HK06h",0.00182150711883002
"HK06h_3_0","HK06h",0.782914542481948
"HK06h_3_2","HK06h",0.524239920627605
"HK06h_3_3","HK06h",0.435287046139544
"HK06h_3_4","HK06h",0.102595996764601
"HK06h_3_5","HK06h",0.522949737147555
"HK06h_3_6","HK06h",0.486125375876345
"HK06h_3_7","HK06h",0.741204849845537
"HK06h_3_8","HK06h",0.775204899236498
"HK06h_3_9","HK06h",0.390596161246124
"HK06h_3_10","HK06h",0.249428806476522
"HK06h_3_11","HK06h",0.0217348391289602
"HK06h_3_12","HK06h",0.0565569664677506
"HK06h_3_13","HK06h",0.363660668223164
"HK06h_3_14","HK06h",0.502847436357265
"HK06h_3_15","HK06h",0.142436600939411
"HK06h_3_16","HK06h",0.106215508071371
"HK06h_3_17","HK06h",0.280836679810633
"HK06h_3_18","HK06h",0.552714744403536
"HK06h_3_19","HK06h",0.558778291573006
"HK06h_3_20","HK06h",0.0477689507707805
"HK06h_3_22","HK06h",0.0321678411912703
"HK06h_3_23","HK06h",0.498594249470405
"HK06h_3_24","HK06h",0.123146724008431
"HK06h_3_25","HK06h",0.178651906964252
"HK06h_3_26","HK06h",0.254120603668283
"HK06h_3_27","HK06h",0.185643080820902
"HK06h_3_28","HK06h",0.197321425038972
"HK06h_3_29","HK06h",0.183178538674662
"HK06h_3_30","HK06h",0.106753668427581
"HK24h_0_0","HK24h",0.099410977378921
"HK24h_0_1","HK24h",0.129743674234261
"HK24h_0_2","HK24h",0.136036093641761
"HK24h_0_3","HK24h",0.301696175523413
"HK24h_0_4","HK24h",0.237087771901132
"HK24h_0_5","HK24h",0.097672513041861
"HK24h_0_6","HK24h",0.168088312570992
"HK24h_0_7","HK24h",0.0790464589947308
"HK24h_0_8","HK24h",0.352898458615844
"HK24h_0_9","HK24h",0.489324672987995
"HK24h_0_10","HK24h",0.464650662629745
"HK24h_0_11","HK24h",0.453824079442795
"HK24h_0_12","HK24h",0.276575404670793
"HK24h_0_13","HK24h",0.290164966035013
"HK24h_0_14","HK24h",0.154756153672582
"HK24h_0_15","HK24h",0.377887146190514
"HK24h_0_16","HK24h",0.107780642724941
"HK24h_0_17","HK24h",0.359565077709324
"HK24h_0_18","HK24h",0.447502143376285
"HK24h_0_19","HK24h",0.0296556350083103
"HK24h_0_20","HK24h",0.0600234103918106
"HK24h_1_0","HK24h",0.125340931234051
"HK24h_1_1","HK24h",0.117631866272241
"HK24h_1_2","HK24h",0.523573935984505
"HK24h_1_3","HK24h",0
"HK24h_1_4","HK24h",0.337174042746493
"HK24h_1_5","HK24h",0.162622232520772
"HK24h_1_6","HK24h",0.309415206218103
"HK24h_1_7","HK24h",0
"HK24h_1_8","HK24h",0.0267795024089703
"HK24h_1_9","HK24h",0.0587543389195206
"HK24h_1_10","HK24h",0.0793683513084808
"HK24h_1_11","HK24h",0.0143942633517901
"HK24h_1_12","HK24h",0.171367911704292
"HK24h_1_13","HK24h",0.095674412365621
"HK24h_1_14","HK24h",0.133844535221061
"HK24h_1_16","HK24h",0.370890387799674
"HK24h_1_17","HK24h",0.403430137756324
"HK24h_1_18","HK24h",0
"HK24h_1_19","HK24h",0.913659491703749
"HK24h_1_20","HK24h",0.469024376020915
"HK24h_1_21","HK24h",0.283569300867323
"HK24h_1_22","HK24h",0.297498769353383
"HK24h_1_23","HK24h",0.178975187776232
"HK24h_1_24","HK24h",0.122364157109761
"HK24h_1_25","HK24h",0.0637385992609406
"HK24h_1_26","HK24h",0.163825980198082
"HK24h_1_27","HK24h",0.0698753215405407
"HK24h_1_30","HK24h",0
"HK24h_1_31","HK24h",0
"HK24h_1_32","HK24h",0.238476809829522
"HK24h_1_33","HK24h",0
"HK24h_1_35","HK24h",0.530827091808395
"HK24h_1_36","HK24h",0.98920978452509
"HK24h_1_37","HK24h",0.304691220712933
"HK24h_1_38","HK24h",0.588921200785036
"HK24h_1_39","HK24h",0.527887847352765
"HK24h_1_40","HK24h",0.519197995565585
"HK24h_1_41","HK24h",0.0587439908539406
"HK24h_2_0","HK24h",0.215548285959132
"HK24h_2_1","HK24h",0.435805784739644
"HK24h_2_2","HK24h",0.376473699514694
"HK24h_2_3","HK24h",0.475593164950755
"HK24h_2_4","HK24h",0.406828054388634
"HK24h_2_5","HK24h",0.540478808446485
"HK24h_2_6","HK24h",0.0845543910320408
"HK24h_2_7","HK24h",0.00934208338182009
"HK24h_2_8","HK24h",0.00436691720358004
"HK24h_2_9","HK24h",0.463954557894975
"HK24h_2_10","HK24h",0.0733597975734007
"HK24h_2_11","HK24h",0.155743131180792
"HK24h_2_12","HK24h",0.103516137267941
"HK24h_2_13","HK24h",0.219139269509942
"HK24h_2_14","HK24h",0.143224447671671
"HK24h_2_15","HK24h",0.188540943926492
"HK24h_2_16","HK24h",0.0633718071848006
"HK24h_2_17","HK24h",0.405410028393014
"HK24h_2_18","HK24h",0.268042936056513
"HK24h_2_19","HK24h",0.297531815622593
"HK24h_2_20","HK24h",0.00214651499822002
"HK24h_2_21","HK24h",0.168598918116112
"HK24h_2_22","HK24h",0.196319915611952
"HK24h_2_23","HK24h",0.355989975903184
"HK24h_2_24","HK24h",0.772687365876518
"HK24h_2_25","HK24h",0.474641588723035
"HK24h_2_26","HK24h",0.243120999568602
"HK24h_2_27","HK24h",0.190915946798702
"HK24h_2_28","HK24h",0.491502255660515
"HK24h_2_29","HK24h",0.161623217250322
"HK24h_2_30","HK24h",0.135327151969471
"HK24h_2_31","HK24h",0.176168663211172
