"","cell","pseudotime"
"CtrlhFb_0_0","CtrlhFb",0
"CtrlhFb_0_1","CtrlhFb",0
"CtrlhFb_0_2","CtrlhFb",0
"CtrlhFb_0_3","CtrlhFb",0
"CtrlhFb_0_5","CtrlhFb",0.192678532229512
"CtrlhFb_0_6","CtrlhFb",0.192678532229512
"CtrlhFb_0_7","CtrlhFb",0.203295424741202
"CtrlhFb_0_8","CtrlhFb",0.171372954479692
"CtrlhFb_0_9","CtrlhFb",0.338464103755173
"CtrlhFb_0_10","CtrlhFb",0.291258548335833
"CtrlhFb_0_11","CtrlhFb",0.812051152864198
"CtrlhFb_0_12","CtrlhFb",0.803979713327578
"CtrlhFb_0_13","CtrlhFb",0.772649183232678
"CtrlhFb_0_14","CtrlhFb",0.741881623224217
"CtrlhFb_0_15","CtrlhFb",0.729733858472997
"CtrlhFb_0_16","CtrlhFb",0.319537907796253
"CtrlhFb_0_17","CtrlhFb",0.288699905304143
"CtrlhFb_0_18","CtrlhFb",0.324984343175653
"CtrlhFb_0_19","CtrlhFb",0.158135710514372
"CtrlhFb_0_20","CtrlhFb",0.130845845209311
"CtrlhFb_0_21","CtrlhFb",0.169773375616782
"CtrlhFb_0_22","CtrlhFb",0.261604168955753
"CtrlhFb_0_23","CtrlhFb",0.225975934091382
"CtrlhFb_0_24","CtrlhFb",0.455340649527525
"CtrlhFb_0_25","CtrlhFb",0.292754431643713
"CtrlhFb_0_26","CtrlhFb",0.742389397740167
"CtrlhFb_0_27","CtrlhFb",0.812051152864198
"CtrlhFb_0_28","CtrlhFb",0.753710359552928
"CtrlhFb_0_29","CtrlhFb",0.769755126110018
"CtrlhFb_0_30","CtrlhFb",0.722166472242747
"CtrlhFb_1_0","CtrlhFb",0
"CtrlhFb_1_1","CtrlhFb",0.0165081508079402
"CtrlhFb_1_2","CtrlhFb",0
"CtrlhFb_1_3","CtrlhFb",0
"CtrlhFb_1_4","CtrlhFb",0
"CtrlhFb_1_5","CtrlhFb",0
"CtrlhFb_1_6","CtrlhFb",0
"CtrlhFb_1_7","CtrlhFb",0.927371767243759
"CtrlhFb_1_8","CtrlhFb",0.886400910496849
"CtrlhFb_1_9","CtrlhFb",0.908611706179449
"CtrlhFb_1_10","CtrlhFb",0.918058693704959
"CtrlhFb_1_11","CtrlhFb",0.886400910496849
"CtrlhFb_1_12","CtrlhFb",0.904945350994659
"CtrlhFb_1_13","CtrlhFb",0.903104270931909
"CtrlhFb_1_14","CtrlhFb",0.916597330874279
"CtrlhFb_1_15","CtrlhFb",0
"CtrlhFb_1_16","CtrlhFb",0
"CtrlhFb_1_17","CtrlhFb",0.910896877426149
"CtrlhFb_1_18","CtrlhFb",0.866711310959439
"CtrlhFb_1_19","CtrlhFb",0.924615084559409
"CtrlhFb_1_20","CtrlhFb",0.868908461473429
"CtrlhFb_1_21","CtrlhFb",0
"CtrlhFb_1_22","CtrlhFb",0.095649762478321
"CtrlhFb_1_23","CtrlhFb",0.117756037442081
