"","cell","pseudotime"
"CtrlhFb_1_58","CtrlhFb",0
"CtrlhFb_1_59","CtrlhFb",0
"CtrlhFb_2_0","CtrlhFb",0
"CtrlhFb_2_1","CtrlhFb",1
"CtrlhFb_2_2","CtrlhFb",0
"CtrlhFb_2_3","CtrlhFb",0
"CtrlhFb_2_4","CtrlhFb",0.235392692066951
"CtrlhFb_2_5","CtrlhFb",0.265050892938087
"CtrlhFb_2_6","CtrlhFb",0.337775923869917
"CtrlhFb_2_7","CtrlhFb",0.265050892938087
"CtrlhFb_2_8","CtrlhFb",0.265050892938087
"CtrlhFb_2_9","CtrlhFb",0.130357215196849
"CtrlhFb_2_10","CtrlhFb",0.265050892938087
"CtrlhFb_2_11","CtrlhFb",0.313348264135017
"CtrlhFb_2_12","CtrlhFb",0.272191060637478
"CtrlhFb_2_13","CtrlhFb",0.345081496868199
"CtrlhFb_2_14","CtrlhFb",0.265050892938087
"CtrlhFb_2_15","CtrlhFb",0.745765036118654
"CtrlhFb_2_16","CtrlhFb",0.363014391511681
"CtrlhFb_2_17","CtrlhFb",0.0924474632606951
"CtrlhFb_2_18","CtrlhFb",0
"CtrlhFb_2_19","CtrlhFb",0.197091900823081
"CtrlhFb_2_20","CtrlhFb",1
"CtrlhFb_2_21","CtrlhFb",1
"CtrlhFb_2_22","CtrlhFb",1
"CtrlhFb_2_23","CtrlhFb",0.317259343505319
"CtrlhFb_2_24","CtrlhFb",0.157210019681213
"CtrlhFb_2_25","CtrlhFb",0.265050892938087
"CtrlhFb_2_26","CtrlhFb",0.265050892938087
"CtrlhFb_2_27","CtrlhFb",0.265050892938087
"CtrlhFb_2_28","CtrlhFb",1
"CtrlhFb_2_29","CtrlhFb",0.243035996633404
"CtrlhFb_3_0","CtrlhFb",1
"CtrlhFb_3_1","CtrlhFb",1
"CtrlhFb_3_2","CtrlhFb",1
"CtrlhFb_3_3","CtrlhFb",1
"CtrlhFb_3_4","CtrlhFb",0.0271819632290725
"CtrlhFb_3_5","CtrlhFb",1
"CtrlhFb_3_6","CtrlhFb",0.106846551447522
"CtrlhFb_3_7","CtrlhFb",0.260810046467951
"CtrlhFb_3_8","CtrlhFb",0.257532374790308
"CtrlhFb_3_9","CtrlhFb",0.245647606103654
"CtrlhFb_3_10","CtrlhFb",0.698486011954244
"CtrlhFb_3_11","CtrlhFb",0.22773007319723
"CtrlhFb_3_12","CtrlhFb",0.0141815524392503
"CtrlhFb_3_13","CtrlhFb",0.188899965295089
"CtrlhFb_3_14","CtrlhFb",0.265050892938087
"CtrlhFb_3_15","CtrlhFb",0.917063876810954
"CtrlhFb_3_16","CtrlhFb",0.265050892938087
"CtrlhFb_3_17","CtrlhFb",0
"CtrlhFb_3_18","CtrlhFb",1
