"","cell","pseudotime"
"CtrlhFb_0_0","CtrlhFb",0
"CtrlhFb_0_1","CtrlhFb",0
"CtrlhFb_0_2","CtrlhFb",0
"CtrlhFb_0_3","CtrlhFb",0
"CtrlhFb_0_5","CtrlhFb",0
"CtrlhFb_0_6","CtrlhFb",0
"CtrlhFb_0_7","CtrlhFb",0
"CtrlhFb_0_8","CtrlhFb",0
"CtrlhFb_0_9","CtrlhFb",0
"CtrlhFb_0_10","CtrlhFb",0
"CtrlhFb_0_11","CtrlhFb",0.305714188463225
"CtrlhFb_0_12","CtrlhFb",0.305714188463225
"CtrlhFb_0_13","CtrlhFb",0.305714188463225
"CtrlhFb_0_14","CtrlhFb",0.305714188463225
"CtrlhFb_0_15","CtrlhFb",0.305714188463225
"CtrlhFb_0_16","CtrlhFb",0
"CtrlhFb_0_17","CtrlhFb",0
"CtrlhFb_0_18","CtrlhFb",0
"CtrlhFb_0_19","CtrlhFb",0
"CtrlhFb_0_20","CtrlhFb",0
"CtrlhFb_0_21","CtrlhFb",0.62894246391079
"CtrlhFb_0_22","CtrlhFb",0
"CtrlhFb_0_23","CtrlhFb",0
"CtrlhFb_0_24","CtrlhFb",1.15341693466634
"CtrlhFb_0_25","CtrlhFb",0
"CtrlhFb_0_26","CtrlhFb",0.305714188463225
"CtrlhFb_0_27","CtrlhFb",0.305714188463225
"CtrlhFb_0_28","CtrlhFb",0.305714188463225
"CtrlhFb_0_29","CtrlhFb",0.305714188463225
"CtrlhFb_0_30","CtrlhFb",0.305714188463225
"CtrlhFb_1_0","CtrlhFb",0
"CtrlhFb_1_1","CtrlhFb",0
"CtrlhFb_1_2","CtrlhFb",0
"CtrlhFb_1_3","CtrlhFb",0
"CtrlhFb_1_4","CtrlhFb",0
"CtrlhFb_1_5","CtrlhFb",0
"CtrlhFb_1_6","CtrlhFb",0
"CtrlhFb_1_7","CtrlhFb",0
"CtrlhFb_1_8","CtrlhFb",0
"CtrlhFb_1_9","CtrlhFb",0
"CtrlhFb_1_10","CtrlhFb",0
"CtrlhFb_1_11","CtrlhFb",0
"CtrlhFb_1_12","CtrlhFb",0
"CtrlhFb_1_13","CtrlhFb",0
"CtrlhFb_1_14","CtrlhFb",0
"CtrlhFb_1_15","CtrlhFb",0
"CtrlhFb_1_16","CtrlhFb",0
"CtrlhFb_1_17","CtrlhFb",0
"CtrlhFb_1_18","CtrlhFb",0
"CtrlhFb_1_19","CtrlhFb",0
"CtrlhFb_1_20","CtrlhFb",0
"CtrlhFb_1_21","CtrlhFb",0
"CtrlhFb_1_22","CtrlhFb",0.107958426838119
"CtrlhFb_1_23","CtrlhFb",1.15341693466634
"CtrlhFb_1_24","CtrlhFb",0
"CtrlhFb_1_26","CtrlhFb",0
"CtrlhFb_1_27","CtrlhFb",0
"CtrlhFb_1_28","CtrlhFb",0
"CtrlhFb_1_29","CtrlhFb",0
"CtrlhFb_1_30","CtrlhFb",0
"CtrlhFb_1_31","CtrlhFb",0
