"","cell","pseudotime"
"CtrlhFb_20201118_0","CtrlhFb",0.288717800710913
"CtrlhFb_20201118_1","CtrlhFb",0.284427768862223
"CtrlhFb_20201118_2","CtrlhFb",0.291245637458903
"CtrlhFb_20201118_3","CtrlhFb",0.289846753661743
"CtrlhFb_20201118_4","CtrlhFb",0.176386743698202
"CtrlhFb_20201118_5","CtrlhFb",0.278811820728793
"CtrlhFb_20201118_6","CtrlhFb",0.236118575943992
"CtrlhFb_20201118_7","CtrlhFb",0.177174038506422
"CtrlhFb_20201118_8","CtrlhFb",0.243773517611462
"CtrlhFb_20201118_9","CtrlhFb",0.283212109551893
"CtrlhFb_20201118_10","CtrlhFb",0.286203726637043
"CtrlhFb_20201118_11","CtrlhFb",0.0246666890414802
"CtrlhFb_20201118_12","CtrlhFb",0.314206544396473
"CtrlhFb_20201118_13","CtrlhFb",0.0623402959227606
"CtrlhFb_20201118_14","CtrlhFb",0.286298132819043
"CtrlhFb_20201118_15","CtrlhFb",0.597828937948546
"CtrlhFb_20201118_16","CtrlhFb",0.246136900381412
"CtrlhFb_20201118_17","CtrlhFb",0.271180651036963
"CtrlhFb_20201118_18","CtrlhFb",0.196202842242022
"CtrlhFb_20201118_19","CtrlhFb",0.287747109876283
"CtrlhFb_20201118_20","CtrlhFb",0.913401892866529
"CtrlhFb_20201118_21","CtrlhFb",0.922025106105099
"CtrlhFb_20201118_22","CtrlhFb",0.292167028088713
"CtrlhFb_20201118_23","CtrlhFb",0.272079106853523
"CtrlhFb_20201118_24","CtrlhFb",0.289305734729683
"CtrlhFb_20201118_25","CtrlhFb",0.219817709909292
"CtrlhFb_20201118_26","CtrlhFb",0.160553190070832
"CtrlhFb_20201118_27","CtrlhFb",0.106624556448631
"CtrlhFb_20201118_28","CtrlhFb",0.270068516747673
"CtrlhFb_20201118_29","CtrlhFb",0.876449054022519
"CtrlhFb_20201118_30","CtrlhFb",0.286203726637043
"CtrlhFb_20201118_31","CtrlhFb",0.290148966166013
"CtrlhFb_20201203_0","CtrlhFb",0.771110957866358
"CtrlhFb_20201203_2","CtrlhFb",0.299611095565243
"CtrlhFb_20201203_4","CtrlhFb",0.304980630296293
"CtrlhFb_20201203_5","CtrlhFb",0.0524327655874405
"CtrlhFb_20201203_6","CtrlhFb",0.290148966166013
"CtrlhFb_20201203_7","CtrlhFb",0.291136111830973
"CtrlhFb_20201203_8","CtrlhFb",0.296179043700223
"CtrlhFb_20201203_9","CtrlhFb",0.293898996454073
"CtrlhFb_20201203_10","CtrlhFb",0.299611095565243
"CtrlhFb_20201203_11","CtrlhFb",0.299373118452013
"CtrlhFb_20201203_12","CtrlhFb",0.293898996454073
"CtrlhFb_20201203_13","CtrlhFb",0.112350750366271
"CtrlhFb_20201203_14","CtrlhFb",0.296559937823313
"CtrlhFb_20201203_15","CtrlhFb",0.330426561842493
"CtrlhFb_20201203_16","CtrlhFb",0.244819937648342
"CtrlhFb_20201203_17","CtrlhFb",0.203313378734432
"CtrlhFb_20201203_18","CtrlhFb",0.302170488249283
"CtrlhFb_20201203_19","CtrlhFb",0.884839343374509
"CtrlhFb_20201203_20","CtrlhFb",0.296282643525243
"CtrlhFb_20201203_21","CtrlhFb",0.287747109876283
"CtrlhFb_20201203_22","CtrlhFb",0.793435698037728
"CtrlhFb_20201203_23","CtrlhFb",0.761638408584268
"CtrlhFb_20201203_24","CtrlhFb",0.249600158223853
"CtrlhFb_20201203_25","CtrlhFb",0.449956636358375
"CtrlhFb_20201203_26","CtrlhFb",0.95980238261714
"CtrlhFb_20201203_27","CtrlhFb",0.286203726637043
"CtrlhFb_20201203_28","CtrlhFb",0.0484214217032605
"CtrlhFb_20201203_29","CtrlhFb",0.293898996454073
"CtrlhFb_20201203_30","CtrlhFb",0.290011237761463
"CtrlhFb_20201209_0","CtrlhFb",0.224624256894262
"CtrlhFb_20201209_1","CtrlhFb",0.248023814667282
"CtrlhFb_20201209_2","CtrlhFb",0.285971297994513
"CtrlhFb_20201209_3","CtrlhFb",0.220927214686002
"CtrlhFb_20201209_4","CtrlhFb",0.0926612571694309
"CtrlhFb_20201209_5","CtrlhFb",0.208593994260572
"CtrlhFb_20201209_6","CtrlhFb",0.164578029417062
"CtrlhFb_20201209_7","CtrlhFb",0.0665436867524407
"CtrlhFb_20201209_8","CtrlhFb",0.165706551756732
"CtrlhFb_20201209_9","CtrlhFb",0.282311179728983
"CtrlhFb_20201209_10","CtrlhFb",0.288671415531703
"CtrlhFb_20201209_11","CtrlhFb",0.0489944842963305
"CtrlhFb_20201209_12","CtrlhFb",0.160239677493842
"CtrlhFb_20201209_13","CtrlhFb",0.112410765856861
"CtrlhFb_20201209_14","CtrlhFb",0.0663747362011007
"CtrlhFb_20201209_15","CtrlhFb",0.108727674566521
"CtrlhFb_20201209_16","CtrlhFb",0.161598567937482
"CtrlhFb_20201209_17","CtrlhFb",0.276051146423573
"CtrlhFb_20201209_18","CtrlhFb",0.0715642192626307
"CtrlhFb_20201209_20","CtrlhFb",0.186815246133352
"CtrlhFb_20201209_21","CtrlhFb",0.288671415531703
"CtrlhFb_20201209_22","CtrlhFb",0.420992787686984
"CtrlhFb_20201209_23","CtrlhFb",0.242607087449652
"CtrlhFb_20201209_24","CtrlhFb",0.272615001220433
"CtrlhFb_20201209_25","CtrlhFb",0.272858619580703
"CtrlhFb_20201209_26","CtrlhFb",0.209562744205842
"CtrlhFb_20201209_27","CtrlhFb",0.230349594410752
"CtrlhFb_20201209_28","CtrlhFb",0.217108852789422
"CtrlhFb_20201209_29","CtrlhFb",0.167715483396332
"CtrlhFb_20201209_30","CtrlhFb",0.146527470323851
"CtrlhFb_20201209_32","CtrlhFb",0.142453093749251
"HK06h_20201118_0","HK06h",0.706507935831907
"HK06h_20201118_1","HK06h",0.721225299021267
"HK06h_20201118_2","HK06h",0.242290439682232
"HK06h_20201118_3","HK06h",0.556085136530926
"HK06h_20201118_4","HK06h",0.843538177488398
"HK06h_20201118_5","HK06h",1
"HK06h_20201118_6","HK06h",0.215947952146662
"HK06h_20201118_7","HK06h",0.0317865670897003
"HK06h_20201118_8","HK06h",0.0706110002788707
"HK06h_20201118_9","HK06h",0.180245311364072
"HK06h_20201118_10","HK06h",0.275766330523703
"HK06h_20201118_11","HK06h",0.292367965620043
"HK06h_20201118_12","HK06h",0.135350353987461
"HK06h_20201118_13","HK06h",0.0629743722786206
"HK06h_20201118_15","HK06h",0.148550064720211
"HK06h_20201118_16","HK06h",0.189152768593802
"HK06h_20201118_17","HK06h",0.291515700848293
"HK06h_20201118_18","HK06h",0.934444036392959
"HK06h_20201118_19","HK06h",0.0789958496108708
"HK06h_20201118_20","HK06h",0.901257295886749
"HK06h_20201118_21","HK06h",0.0875179449371609
"HK06h_20201118_22","HK06h",0.926737971492969
"HK06h_20201118_23","HK06h",0.894736304810359
"HK06h_20201118_24","HK06h",0.097728336945901
"HK06h_20201118_25","HK06h",0.292130467720753
"HK06h_20201118_26","HK06h",0.752075682301118
"HK06h_20201118_27","HK06h",0.283381490721673
"HK06h_20201118_28","HK06h",0.829099404353428
"HK06h_20201203_0","HK06h",0.805951779949948
"HK06h_20201203_1","HK06h",0.282780708620673
"HK06h_20201203_2","HK06h",0.945948386260209
"HK06h_20201203_3","HK06h",0.0815421793876008
"HK06h_20201203_4","HK06h",1
"HK06h_20201203_5","HK06h",0.180412315972522
"HK06h_20201203_6","HK06h",0.292584840450573
"HK06h_20201203_7","HK06h",0.210332280515632
"HK06h_20201203_8","HK06h",0.407679783066684
"HK06h_20201203_9","HK06h",0.296282643525243
"HK06h_20201203_10","HK06h",0.292937631570083
"HK06h_20201203_11","HK06h",0.822519174037528
"HK06h_20201203_12","HK06h",0.301690842249853
"HK06h_20201203_13","HK06h",0.122686758541721
"HK06h_20201203_14","HK06h",0.276334567357113
"HK06h_20201203_15","HK06h",0.118788547112901
"HK06h_20201203_16","HK06h",0.428854064445244
"HK06h_20201203_17","HK06h",0.0176380598712302
"HK06h_20201203_18","HK06h",0.098317783225991
"HK06h_20201203_19","HK06h",0.0353593216325304
"HK06h_20201203_20","HK06h",0.249289751412212
"HK06h_20201203_21","HK06h",0.095242984014891
"HK06h_20201203_22","HK06h",0.212705731305022
"HK06h_20201203_23","HK06h",0.0425598388038104
"HK06h_20201203_24","HK06h",0.184854741882372
"HK06h_20201203_25","HK06h",0.155454359473972
"HK06h_20201203_26","HK06h",0.184710082952182
"HK06h_20201203_27","HK06h",0.243976167348692
"HK06h_20201203_28","HK06h",0.278466289297853
"HK06h_20201203_29","HK06h",0.140191566705401
"HK06h_20201203_30","HK06h",0.259990324362413
"HK06h_20201203_31","HK06h",0.0605408948804506
"HK06h_20201203_32","HK06h",0.0576435535236506
"HK06h_20201203_33","HK06h",0.0849339041842408
"HK06h_20201203_34","HK06h",0.0364434652802004
"HK06h_20201203_35","HK06h",0.105077342961561
"HK06h_20201203_36","HK06h",0.244223642383212
"HK06h_20201203_37","HK06h",0.254172836390123
"HK06h_20201203_38","HK06h",0.188761310045082
"HK06h_20201203_39","HK06h",0.333691298032743
"HK06h_20201209_0","HK06h",0.253039537953193
"HK06h_20201209_1","HK06h",0.799355140956388
"HK06h_20201209_2","HK06h",0.293718799546993
"HK06h_20201209_3","HK06h",0.898199232906399
"HK06h_20201209_4","HK06h",0.289214350646923
"HK06h_20201209_5","HK06h",0.291662994192183
"HK06h_20201209_6","HK06h",0.097263095170991
"HK06h_20201209_7","HK06h",0.293349005667613
"HK06h_20201209_8","HK06h",0.134153688939641
"HK06h_20201209_9","HK06h",0.292020717761673
"HK06h_20201209_10","HK06h",0.264084697979623
"HK06h_20201209_11","HK06h",0.310717400410443
"HK06h_20201209_12","HK06h",0.302170488249283
"HK06h_20201209_13","HK06h",0.120344801709851
"HK06h_20201209_14","HK06h",0.292167028088713
"HK06h_20201209_15","HK06h",0.319840108598433
"HK06h_20201209_16","HK06h",0.182597776977842
"HK06h_20201209_18","HK06h",0.106430010498711
"HK06h_20201209_19","HK06h",0.317672955622323
"HK06h_20201209_20","HK06h",0.142264640439801
"HK06h_20201209_21","HK06h",0.098606095363081
"HK06h_20201209_22","HK06h",0.0939117660000709
"HK06h_20201209_23","HK06h",0.304952899550723
"HK06h_20201209_24","HK06h",0.290847583352243
"HK06h_20201209_25","HK06h",0.208927883361082
"HK06h_20201209_26","HK06h",0.0473296330901905
"HK06h_20201209_27","HK06h",0.196748565585632
"HK06h_20201209_29","HK06h",0.0827269181710808
"HK24h_20201118_0","HK24h",0.732349761675727
"HK24h_20201118_2","HK24h",0.662753443319967
"HK24h_20201118_3","HK24h",0.604075535345096
"HK24h_20201118_4","HK24h",0.621091335335226
"HK24h_20201118_5","HK24h",0.949919929255589
"HK24h_20201118_6","HK24h",0.855642104170629
"HK24h_20201118_7","HK24h",0.614811955691446
"HK24h_20201118_8","HK24h",0.671154085073257
"HK24h_20201118_9","HK24h",0.600158381545136
"HK24h_20201118_10","HK24h",0.0508768816571105
"HK24h_20201118_11","HK24h",0.737193612705857
"HK24h_20201118_12","HK24h",0.557370424718776
"HK24h_20201118_13","HK24h",0.860947689714128
"HK24h_20201118_14","HK24h",0.873177134063509
"HK24h_20201118_15","HK24h",0.723138347878207
"HK24h_20201118_16","HK24h",0.626712449703006
"HK24h_20201118_18","HK24h",0.881039479916499
"HK24h_20201118_20","HK24h",0.624470120716246
"HK24h_20201118_21","HK24h",0.537685060969855
"HK24h_20201118_22","HK24h",0.0891440420634409
"HK24h_20201118_23","HK24h",0.847651772301808
"HK24h_20201118_24","HK24h",0.843044874961748
"HK24h_20201118_25","HK24h",0.848072588829138
"HK24h_20201118_26","HK24h",0.802953360709778
"HK24h_20201118_27","HK24h",0.367987921372194
"HK24h_20201118_28","HK24h",0.872978444812629
"HK24h_20201118_29","HK24h",0.614996654233906
"HK24h_20201118_30","HK24h",0.611240729737756
"HK24h_20201118_31","HK24h",0.788345976070968
"HK24h_20201118_32","HK24h",0.554408785346626
"HK24h_20201118_33","HK24h",0.579787760851436
"HK24h_20201118_34","HK24h",0.618438188508026
"HK24h_20201118_35","HK24h",0.611576643761056
"HK24h_20201203_0","HK24h",0.855862243432479
"HK24h_20201203_1","HK24h",0.864527789873539
"HK24h_20201203_2","HK24h",0.765130011418768
"HK24h_20201203_3","HK24h",0.656957632101977
"HK24h_20201203_4","HK24h",0.819699797379848
"HK24h_20201203_5","HK24h",0.730908664817797
"HK24h_20201203_6","HK24h",0.875007406174969
"HK24h_20201203_7","HK24h",0.850072595407479
"HK24h_20201203_8","HK24h",0.731229056013667
"HK24h_20201203_9","HK24h",0.827002165436778
"HK24h_20201203_11","HK24h",0.863298626838569
"HK24h_20201203_12","HK24h",0.584272920736366
"HK24h_20201203_13","HK24h",0.611728165343756
"HK24h_20201203_14","HK24h",0.882758307179929
"HK24h_20201203_15","HK24h",0.864542621676939
"HK24h_20201203_16","HK24h",0.642752154911596
"HK24h_20201203_17","HK24h",0.687880056970257
"HK24h_20201203_18","HK24h",0.605570686585456
"HK24h_20201203_19","HK24h",0.594133583030626
"HK24h_20201203_20","HK24h",0.750905492400628
"HK24h_20201203_21","HK24h",0.565548576736246
"HK24h_20201203_22","HK24h",0.607850680309126
"HK24h_20201203_23","HK24h",0.493973929046395
"HK24h_20201203_24","HK24h",0.738639277399227
"HK24h_20201203_25","HK24h",0.742759811063027
"HK24h_20201203_26","HK24h",0.840320145598338
"HK24h_20201203_27","HK24h",0.620863779147086
"HK24h_20201203_28","HK24h",0.503565162874565
"HK24h_20201203_29","HK24h",0.633868749122636
"HK24h_20201203_30","HK24h",0.592155010147266
"HK24h_20201203_31","HK24h",0.741200132541927
"HK24h_20201203_32","HK24h",0.795521638284698
"HK24h_20201203_33","HK24h",0.810243501725138
"HK24h_20201203_34","HK24h",0.852393963531999
"HK24h_20201203_35","HK24h",0.872370755180789
"HK24h_20201209_0","HK24h",0.597828937948546
"HK24h_20201209_1","HK24h",0.0445756675432804
"HK24h_20201209_2","HK24h",0
"HK24h_20201209_3","HK24h",0.338904900317713
"HK24h_20201209_4","HK24h",0
"HK24h_20201209_5","HK24h",0.591571053721456
"HK24h_20201209_6","HK24h",0
"HK24h_20201209_7","HK24h",0.295128240858473
"HK24h_20201209_8","HK24h",0.0125099172157801
"HK24h_20201209_9","HK24h",0.00938377319308009
"HK24h_20201209_10","HK24h",0.00495679588239005
"HK24h_20201209_11","HK24h",0.603236196811686
"HK24h_20201209_12","HK24h",0.593475272266606
"HK24h_20201209_13","HK24h",0.00230356617674002
"HK24h_20201209_14","HK24h",0.0186040191085802
"HK24h_20201209_15","HK24h",0.000318379741780003
"HK24h_20201209_16","HK24h",0
"HK24h_20201209_17","HK24h",0.663448265350387
"HK24h_20201209_18","HK24h",0.601652083515926
"HK24h_20201209_19","HK24h",0.603236196811686
"HK24h_20201209_20","HK24h",0.750112308374638
"HK24h_20201209_21","HK24h",0
"HK24h_20201209_22","HK24h",0.0247752930304302
"HK48h_20201118_0","HK48h",0.878752716104729
"HK48h_20201118_1","HK48h",0.769318550161948
"HK48h_20201118_2","HK48h",0.858801908558249
"HK48h_20201118_3","HK48h",0.830348698405468
"HK48h_20201118_4","HK48h",0.869509478686009
"HK48h_20201118_5","HK48h",0.861812031351809
"HK48h_20201118_6","HK48h",0.872234255127099
"HK48h_20201118_7","HK48h",0.858780434067579
"HK48h_20201118_8","HK48h",0.881836567993049
"HK48h_20201118_9","HK48h",0.889652084939219
"HK48h_20201118_10","HK48h",0.852564782101329
"HK48h_20201118_11","HK48h",0.849793766838938
"HK48h_20201118_12","HK48h",0.879986551130639
"HK48h_20201118_13","HK48h",0.853690229114599
"HK48h_20201118_14","HK48h",0.860262915937279
"HK48h_20201118_15","HK48h",0.881980411147789
"HK48h_20201118_16","HK48h",0.862084583940949
"HK48h_20201118_17","HK48h",0.873238572016339
"HK48h_20201118_18","HK48h",0.844970826842278
"HK48h_20201118_19","HK48h",0.735328134729347
"HK48h_20201118_20","HK48h",0.881295711559339
"HK48h_20201118_21","HK48h",0.867161718257909
"HK48h_20201118_22","HK48h",0.528073124751195
"HK48h_20201118_23","HK48h",0.675070776693677
"HK48h_20201118_24","HK48h",0.879295907522349
"HK48h_20201203_0","HK48h",0.770290835171918
"HK48h_20201203_1","HK48h",0.843980243551678
"HK48h_20201203_2","HK48h",0.264501528411013
"HK48h_20201203_3","HK48h",0.742947241096067
"HK48h_20201203_4","HK48h",0.855174591339809
"HK48h_20201203_5","HK48h",0.755979437923648
"HK48h_20201203_6","HK48h",0.676205164066337
"HK48h_20201203_7","HK48h",0.804197978184628
"HK48h_20201203_8","HK48h",0.606869525577176
"HK48h_20201203_10","HK48h",0.357208554436004
"HK48h_20201203_13","HK48h",0.587532870907146
"HK48h_20201203_14","HK48h",0.893491798955819
"HK48h_20201203_15","HK48h",0.668146323665287
"HK48h_20201203_16","HK48h",0.835246708727018
"HK48h_20201203_17","HK48h",0.673894058428117
"HK48h_20201203_18","HK48h",0.620863779147086
"HK48h_20201203_19","HK48h",0.735804784583677
"HK48h_20201203_20","HK48h",0.639092109102746
"HK48h_20201203_21","HK48h",0.630241561210806
"HK48h_20210824_0","HK48h",0.872006055826049
"HK48h_20210824_1","HK48h",0.843679319503558
"HK48h_20210824_2","HK48h",0.829605051480008
"HK48h_20210824_3","HK48h",0.712017168866537
"HK48h_20210824_4","HK48h",0.704350174462757
"HK48h_20210824_5","HK48h",0.865198503530879
"HK48h_20210824_6","HK48h",0.848352086798038
"HK48h_20210824_7","HK48h",0.660991835795637
"HK48h_20210824_8","HK48h",0.798193862616848
"HK48h_20210824_9","HK48h",0.864305737517039
"HK48h_20210824_10","HK48h",0.574207920234446
"HK48h_20210824_11","HK48h",0.907596391230289
"HK48h_20210824_12","HK48h",0.849871339341538
"HK48h_20210824_13","HK48h",0.903798003974349
"HK48h_20210824_14","HK48h",0.841155330069418
"HK48h_20210824_15","HK48h",0.867851994324849
"HK48h_20210824_16","HK48h",0.634211202585976
