"","cell","pseudotime"
"CtrlhFb_20201118_0","CtrlhFb",0.152884456654422
"CtrlhFb_20201118_1","CtrlhFb",0.189401125553182
"CtrlhFb_20201118_2","CtrlhFb",0.239304847452732
"CtrlhFb_20201118_3","CtrlhFb",0.159572624973942
"CtrlhFb_20201118_4","CtrlhFb",0.315823054251583
"CtrlhFb_20201118_5","CtrlhFb",0.186703589174862
"CtrlhFb_20201118_6","CtrlhFb",0.274621640338133
"CtrlhFb_20201118_7","CtrlhFb",0.315645491338003
"CtrlhFb_20201118_8","CtrlhFb",0.208276138743892
"CtrlhFb_20201118_9","CtrlhFb",0.178824846697602
"CtrlhFb_20201118_10","CtrlhFb",0.101555520345211
"CtrlhFb_20201118_11","CtrlhFb",0.338797462641423
"CtrlhFb_20201118_12","CtrlhFb",0.0231451598337402
"CtrlhFb_20201118_13","CtrlhFb",0.483062773850105
"CtrlhFb_20201118_14","CtrlhFb",0.354793335672994
"CtrlhFb_20201118_15","CtrlhFb",0.771415163396498
"CtrlhFb_20201118_16","CtrlhFb",0.283896110817143
"CtrlhFb_20201118_17","CtrlhFb",0.260794491828483
"CtrlhFb_20201118_18","CtrlhFb",0.199375872919432
"CtrlhFb_20201118_19","CtrlhFb",0.178534236730872
"CtrlhFb_20201118_20","CtrlhFb",0.96760616008602
"CtrlhFb_20201118_21","CtrlhFb",1
"CtrlhFb_20201118_22","CtrlhFb",0.180284998618352
"CtrlhFb_20201118_23","CtrlhFb",0.235440086511532
"CtrlhFb_20201118_24","CtrlhFb",0.192416359435712
"CtrlhFb_20201118_25","CtrlhFb",0.237856681763602
"CtrlhFb_20201118_26","CtrlhFb",0.360106914926894
"CtrlhFb_20201118_27","CtrlhFb",0.459175812369305
"CtrlhFb_20201118_28","CtrlhFb",0.328036792172973
"CtrlhFb_20201118_29","CtrlhFb",0.912310556051559
"CtrlhFb_20201118_30","CtrlhFb",0.227248411610612
"CtrlhFb_20201118_31","CtrlhFb",0.483901785623085
"CtrlhFb_20201203_0","CtrlhFb",0.919788096010609
"CtrlhFb_20201203_2","CtrlhFb",0.120002923868151
"CtrlhFb_20201203_4","CtrlhFb",0.0762315647553108
"CtrlhFb_20201203_5","CtrlhFb",0.393768201595904
"CtrlhFb_20201203_6","CtrlhFb",0.292876441574873
"CtrlhFb_20201203_7","CtrlhFb",0.265128594828993
"CtrlhFb_20201203_8","CtrlhFb",0.0746863629710507
"CtrlhFb_20201203_9","CtrlhFb",0.0742825410337207
"CtrlhFb_20201203_10","CtrlhFb",0.0596979644691406
"CtrlhFb_20201203_11","CtrlhFb",0.0531650610156605
"CtrlhFb_20201203_12","CtrlhFb",0.111713375026781
"CtrlhFb_20201203_13","CtrlhFb",0.376710463300124
"CtrlhFb_20201203_14","CtrlhFb",0
"CtrlhFb_20201203_15","CtrlhFb",0.334630366205813
"CtrlhFb_20201203_16","CtrlhFb",0.287689714282353
"CtrlhFb_20201203_17","CtrlhFb",0.234975085338562
"CtrlhFb_20201203_18","CtrlhFb",0.0387610125437704
"CtrlhFb_20201203_19","CtrlhFb",0.97531117451677
"CtrlhFb_20201203_20","CtrlhFb",0.0386993477492304
"CtrlhFb_20201203_21","CtrlhFb",0.176998965329242
"CtrlhFb_20201203_22","CtrlhFb",0.850783396809209
"CtrlhFb_20201203_23","CtrlhFb",0.816615147193758
"CtrlhFb_20201203_24","CtrlhFb",0.281652416412813
"CtrlhFb_20201203_25","CtrlhFb",0.00248137644403002
"CtrlhFb_20201203_26","CtrlhFb",0
"CtrlhFb_20201203_27","CtrlhFb",0.217468146085522
"CtrlhFb_20201203_28","CtrlhFb",0.412787010309324
"CtrlhFb_20201203_29","CtrlhFb",0.108052677221161
"CtrlhFb_20201203_30","CtrlhFb",0.157496464217902
"CtrlhFb_20201209_0","CtrlhFb",0.253107554455543
"CtrlhFb_20201209_1","CtrlhFb",0.225412992652392
"CtrlhFb_20201209_2","CtrlhFb",0.152581464994202
"CtrlhFb_20201209_3","CtrlhFb",0.249565786215182
"CtrlhFb_20201209_4","CtrlhFb",0.309391184380863
"CtrlhFb_20201209_5","CtrlhFb",0.252498229210523
"CtrlhFb_20201209_6","CtrlhFb",0.244337428838122
"CtrlhFb_20201209_7","CtrlhFb",0.355693877745364
"CtrlhFb_20201209_8","CtrlhFb",0.305071265783143
"CtrlhFb_20201209_9","CtrlhFb",0.169789869367482
"CtrlhFb_20201209_10","CtrlhFb",0.152548968451472
"CtrlhFb_20201209_11","CtrlhFb",0.350815650233273
"CtrlhFb_20201209_12","CtrlhFb",0.280659563962203
"CtrlhFb_20201209_13","CtrlhFb",0.322381520925763
"CtrlhFb_20201209_14","CtrlhFb",0.358079759818324
"CtrlhFb_20201209_15","CtrlhFb",0.327873652468813
"CtrlhFb_20201209_16","CtrlhFb",0.298031084287873
"CtrlhFb_20201209_17","CtrlhFb",0.208276138743892
"CtrlhFb_20201209_18","CtrlhFb",0.339128984137263
"CtrlhFb_20201209_20","CtrlhFb",0.304914162555023
"CtrlhFb_20201209_21","CtrlhFb",0.218835765220142
"CtrlhFb_20201209_22","CtrlhFb",0.454876733321045
"CtrlhFb_20201209_23","CtrlhFb",0.393467888947684
"CtrlhFb_20201209_24","CtrlhFb",0.273170309275833
"CtrlhFb_20201209_25","CtrlhFb",0.283719885172843
"CtrlhFb_20201209_26","CtrlhFb",0.270464266779373
"CtrlhFb_20201209_27","CtrlhFb",0.241700321199352
"CtrlhFb_20201209_28","CtrlhFb",0.235385442732372
"CtrlhFb_20201209_29","CtrlhFb",0.234135575822992
"CtrlhFb_20201209_30","CtrlhFb",0.313572694874233
"CtrlhFb_20201209_32","CtrlhFb",0.294698086376413
"HK06h_20201118_0","HK06h",0.815990078076778
"HK06h_20201118_1","HK06h",0.844896370464098
"HK06h_20201118_2","HK06h",0.291902367171143
"HK06h_20201118_3","HK06h",0.531949756837015
"HK06h_20201118_4","HK06h",0.889023550321219
"HK06h_20201118_5","HK06h",0
"HK06h_20201118_6","HK06h",0.289983552752833
"HK06h_20201118_7","HK06h",0.392726628308404
"HK06h_20201118_8","HK06h",0.407926403414274
"HK06h_20201118_9","HK06h",0.254567520998983
"HK06h_20201118_10","HK06h",0.234506507848572
"HK06h_20201118_11","HK06h",0.182359700894942
"HK06h_20201118_12","HK06h",0.353611695101734
"HK06h_20201118_13","HK06h",0.386240968156644
"HK06h_20201118_15","HK06h",0.198923807666552
"HK06h_20201118_16","HK06h",0.267326894066113
"HK06h_20201118_17","HK06h",0.158993244960002
"HK06h_20201118_18","HK06h",1
"HK06h_20201118_19","HK06h",0.386240968156644
"HK06h_20201118_20","HK06h",1
"HK06h_20201118_21","HK06h",0.335061275872153
"HK06h_20201118_22","HK06h",0
"HK06h_20201118_23","HK06h",1
"HK06h_20201118_24","HK06h",0.318823729462183
"HK06h_20201118_25","HK06h",0.188457890154992
"HK06h_20201118_26","HK06h",0.97145289376831
"HK06h_20201118_27","HK06h",0.363507877040164
"HK06h_20201118_28","HK06h",0.927193123996809
"HK06h_20201203_0","HK06h",0.864553371647189
"HK06h_20201203_1","HK06h",0.381470805083884
"HK06h_20201203_2","HK06h",0
"HK06h_20201203_3","HK06h",0.401558654396264
"HK06h_20201203_4","HK06h",0
"HK06h_20201203_5","HK06h",0.222514809409822
"HK06h_20201203_6","HK06h",0.168126919116952
"HK06h_20201203_7","HK06h",0.331081779307643
"HK06h_20201203_8","HK06h",0.0178494312421702
