"","cell","pseudotime"
"CtrlhFb_20201118_0","CtrlhFb",0.40664389723552
"CtrlhFb_20201118_1","CtrlhFb",0
"CtrlhFb_20201118_2","CtrlhFb",0
"CtrlhFb_20201118_3","CtrlhFb",0.137479805200227
"CtrlhFb_20201118_4","CtrlhFb",0
"CtrlhFb_20201118_5","CtrlhFb",0
"CtrlhFb_20201118_6","CtrlhFb",0.0718522451045092
"CtrlhFb_20201118_7","CtrlhFb",0
"CtrlhFb_20201118_8","CtrlhFb",0.0265524175019572
"CtrlhFb_20201118_9","CtrlhFb",0.183061090086766
"CtrlhFb_20201118_10","CtrlhFb",0.213028159296457
"CtrlhFb_20201118_11","CtrlhFb",0
"CtrlhFb_20201118_12","CtrlhFb",0.66474697573606
"CtrlhFb_20201118_13","CtrlhFb",0.485865079944035
"CtrlhFb_20201118_14","CtrlhFb",0
"CtrlhFb_20201118_15","CtrlhFb",0.722299622507286
"CtrlhFb_20201118_16","CtrlhFb",0
"CtrlhFb_20201118_17","CtrlhFb",0
"CtrlhFb_20201118_18","CtrlhFb",0.288715194908555
"CtrlhFb_20201118_19","CtrlhFb",0
"CtrlhFb_20201118_20","CtrlhFb",0.937016008267188
"CtrlhFb_20201118_21","CtrlhFb",0.548712735668862
"CtrlhFb_20201118_22","CtrlhFb",0.258250496288114
"CtrlhFb_20201118_23","CtrlhFb",0
"CtrlhFb_20201118_24","CtrlhFb",0.00740934816059088
"CtrlhFb_20201118_25","CtrlhFb",0
"CtrlhFb_20201118_26","CtrlhFb",0.45010730574863
"CtrlhFb_20201118_27","CtrlhFb",0.439098772476017
"CtrlhFb_20201118_28","CtrlhFb",0
"CtrlhFb_20201118_29","CtrlhFb",0.96646647031801
"CtrlhFb_20201118_30","CtrlhFb",0
"CtrlhFb_20201118_31","CtrlhFb",0.651004717191507
"CtrlhFb_20201203_0","CtrlhFb",0.75713698320295
"CtrlhFb_20201203_2","CtrlhFb",0
"CtrlhFb_20201203_4","CtrlhFb",0.63936132836337
"CtrlhFb_20201203_5","CtrlhFb",0.245129335609168
"CtrlhFb_20201203_6","CtrlhFb",0
"CtrlhFb_20201203_7","CtrlhFb",0
"CtrlhFb_20201203_8","CtrlhFb",0.358726491222693
"CtrlhFb_20201203_9","CtrlhFb",0.53346608982581
"CtrlhFb_20201203_10","CtrlhFb",0.530078252524453
"CtrlhFb_20201203_11","CtrlhFb",0.53862660407401
