group,biological_replicate,name,major_axis,minor_axis,convex_area,gyration_radius,eigenvalues_ratio,eigenentropy,perimeter,convex_perimeter,aspect_ratio,form_ratio,rectangularity,circularity,convex_circularity,convexity,solidity,fiber_length,fiber_width,curl,major_axis_norm_area,minor_axis_norm_area,elastic_energy_norm_area,bending_energy_norm_area,nucleus_radius,locs_density,locs_number,elastic_energy,bending_energy,periphery_loc_density,interior_loc_density,periphery_cluster_density,interior_cluster_density,model_lad_thickness,periphery_to_interior_loc_density_ratio,periphery_to_interior_dbscan_cluster_density_ratio,log_voronoi_density_40,log_voronoi_density_70,reduced_log_voronoi_density_40,reduced_log_voronoi_density_70,log_interior_dbscan_cluster_radius_mean,log_interior_dbscan_cluster_radius_std,log_interior_dbscan_cluster_radius_skewness,log_interior_dbscan_cluster_gyration_radius_mean,log_interior_dbscan_cluster_gyration_radius_std,log_interior_dbscan_cluster_gyration_radius_skewness,log_interior_dbscan_cluster_density_mean,log_interior_dbscan_cluster_density_std,log_interior_dbscan_cluster_density_skewness,log_interior_dbscan_cluster_n_locs_mean,log_interior_dbscan_cluster_n_locs_std,log_interior_dbscan_cluster_spacing_mean,log_interior_dbscan_cluster_spacing_std,log_interior_dbscan_cluster_spacing_skewness,log_periphery_dbscan_cluster_radius_mean,log_periphery_dbscan_cluster_radius_std,log_periphery_dbscan_cluster_radius_skewness,log_periphery_dbscan_cluster_gyration_radius_mean,log_periphery_dbscan_cluster_gyration_radius_std,log_periphery_dbscan_cluster_gyration_radius_skewness,log_periphery_dbscan_cluster_density_mean,log_periphery_dbscan_cluster_density_std,log_periphery_dbscan_cluster_density_skewness,log_periphery_dbscan_cluster_n_locs_mean,log_periphery_dbscan_cluster_n_locs_std,log_model_lad_segment_length_mean,log_model_lad_segment_length_std,log_model_lad_segment_length_skewness,log_model_lad_segment_thickness_mean,log_model_lad_segment_thickness_std,log_model_lad_segment_thickness_skewness,log_voronoi_density_mean,log_voronoi_density_std,log_voronoi_density_skewness,log_border_curvature_mean,log_border_curvature_std,log_border_curvature_skewness,reduced_log_voronoi_density_mean,interior_dbscan_cluster_n_locs,interior_dbscan_cluster_n_clusters,periphery_dbscan_cluster_n_locs,periphery_dbscan_cluster_n_clusters,radial_loc_density_ring_01,radial_loc_density_ring_02,radial_loc_density_ring_03,radial_loc_density_ring_04,radial_loc_density_ring_05,radial_loc_density_ring_06,radial_loc_density_ring_07,radial_loc_density_ring_08,radial_loc_density_ring_09,radial_loc_density_ring_10,radial_dbscan_cluster_density_ring_01,radial_dbscan_cluster_density_ring_02,radial_dbscan_cluster_density_ring_03,radial_dbscan_cluster_density_ring_04,radial_dbscan_cluster_density_ring_05,radial_dbscan_cluster_density_ring_06,radial_dbscan_cluster_density_ring_07,radial_dbscan_cluster_density_ring_08,radial_dbscan_cluster_density_ring_09,radial_dbscan_cluster_density_ring_10,radial_loc_density_ring_gradient_major_axis,radial_loc_density_ring_gradient_minor_axis,radial_dbscan_cluster_density_ring_gradient_major_axis,radial_dbscan_cluster_density_ring_gradient_minor_axis,voronoi_cluster_018nm^2_log_radius_mean,voronoi_cluster_018nm^2_log_radius_std,voronoi_cluster_018nm^2_log_radius_skewness,voronoi_cluster_018nm^2_log_density_mean,voronoi_cluster_018nm^2_log_density_std,voronoi_cluster_018nm^2_log_density_skewness,voronoi_cluster_018nm^2_log_gyration_radius_mean,voronoi_cluster_018nm^2_log_gyration_radius_std,voronoi_cluster_018nm^2_log_gyration_radius_skewness,voronoi_cluster_032nm^2_log_radius_mean,voronoi_cluster_032nm^2_log_radius_std,voronoi_cluster_032nm^2_log_radius_skewness,voronoi_cluster_032nm^2_log_density_mean,voronoi_cluster_032nm^2_log_density_std,voronoi_cluster_032nm^2_log_density_skewness,voronoi_cluster_032nm^2_log_gyration_radius_mean,voronoi_cluster_032nm^2_log_gyration_radius_std,voronoi_cluster_032nm^2_log_gyration_radius_skewness,voronoi_cluster_056nm^2_log_radius_mean,voronoi_cluster_056nm^2_log_radius_std,voronoi_cluster_056nm^2_log_radius_skewness,voronoi_cluster_056nm^2_log_density_mean,voronoi_cluster_056nm^2_log_density_std,voronoi_cluster_056nm^2_log_density_skewness,voronoi_cluster_056nm^2_log_gyration_radius_mean,voronoi_cluster_056nm^2_log_gyration_radius_std,voronoi_cluster_056nm^2_log_gyration_radius_skewness,voronoi_cluster_100nm^2_log_radius_mean,voronoi_cluster_100nm^2_log_radius_std,voronoi_cluster_100nm^2_log_radius_skewness,voronoi_cluster_100nm^2_log_density_mean,voronoi_cluster_100nm^2_log_density_std,voronoi_cluster_100nm^2_log_density_skewness,voronoi_cluster_100nm^2_log_gyration_radius_mean,voronoi_cluster_100nm^2_log_gyration_radius_std,voronoi_cluster_100nm^2_log_gyration_radius_skewness,voronoi_cluster_018nm^2_clusters_per_nucleus_area,voronoi_cluster_032nm^2_clusters_per_nucleus_area,voronoi_cluster_056nm^2_clusters_per_nucleus_area,voronoi_cluster_100nm^2_clusters_per_nucleus_area
CtrlhFb,20201118,0,20425.74677,10843.24472,175563572.3,6067.548374,2.570588999,0.593015488,51186.31287,50489.4855,1.883730128,0.432770745,0.81522329,0.865996131,0.865450799,0.986386451,1.028440977,16895.89008,10686.43149,1.208918066,0.000113126,6.01E-05,0.010943337,0.000425894,7581.09527,0.006698464,1209453,1975893.574,76897.9698,0.009199373,0.005737907,1.12E-05,6.51E-06,173.5432768,1.603262704,1.726535723,-2.052047983,-1.692328029,0.12318508,0.482905034,1.527139538,0.198456391,0.729632862,1.449637655,0.207306963,0.675585961,-1.636277419,0.197138229,0.29639317,1.915151529,0.320437307,2.499496252,0.126894743,0.072976527,1.616089396,0.266284506,0.94937187,1.528350432,0.270383473,1.006706388,-1.637608561,0.191124685,0.484972092,2.091720104,0.474834884,2.989984807,0.092187657,0.90578683,2.163966412,0.31322129,-2.005615232,-1.923120675,0.485744598,0.407223249,-3.678416112,0.505701702,-1.051008342,0.252112388,408585,1131,246090,281,0.00601721,0.005419915,0.004718224,0.005035817,0.004998341,0.004957089,0.006377125,0.006407013,0.00689812,0.011493462,6.32E-06,6.71E-06,4.94E-06,5.91E-06,5.56E-06,5.07E-06,7.78E-06,7.40E-06,7.64E-06,5.78E-06,4.18E-08,7.87E-08,6.58E-11,1.24E-10,0.785958209,0.166677971,1.467348052,-1.056396113,0.070881723,1.641838098,0.666870083,0.224401063,0.469957009,0.936404912,0.18413535,1.290497024,-1.298824974,0.07144566,1.171056255,0.820906819,0.240299529,0.49556165,1.098165346,0.213264562,1.242961843,-1.536074053,0.075377366,0.8125007,0.986076489,0.266010079,0.61433347,1.262187012,0.252515433,1.346639467,-1.768322923,0.084618942,0.606926206,1.150940644,0.305768007,0.895773659,1.63E-05,3.77E-05,5.56E-05,4.80E-05
CtrlhFb,20201118,1,17899.98919,10101.98773,134855003.4,5270.740719,2.555808623,0.594111241,46466.55486,44625.7992,1.771927434,0.424053323,0.751391716,0.790778628,0.850951708,0.960385364,1.00753222,12578.13022,10802.14297,1.42310414,0.000131743,7.43E-05,0.014987784,0.000343273,6576.397681,0.009095025,1235748,2036401.663,46640.82849,0.009085688,0.009098612,1.31E-05,9.87E-06,122.8979109,0.998579546,1.327327327,-1.930947095,-1.590228887,0.111954785,0.452672993,1.605407081,0.252094682,0.835172801,1.526037132,0.25638176,0.79536844,-1.669356289,0.188286051,0.601318184,2.038607745,0.433122694,2.44423063,0.108099493,0.119319245,1.567756589,0.235694668,0.81593061,1.487835048,0.246995527,0.748820893,-1.606579584,0.195763587,0.118612934,2.026083466,0.391765864,2.936800382,0.124351757,1.238079114,1.916665908,0.507100795,-1.857253453,-1.814570403,0.448045903,0.118437271,-3.624406146,0.50894992,-0.918679735,0.228331477,840408,1248,126504,215,0.00839248,0.00861827,0.008582031,0.00905617,0.008893271,0.00885874,0.00984558,0.008064545,0.007659402,0.009100831,1.06E-05,8.68E-06,1.00E-05,9.15E-06,9.39E-06,8.64E-06,1.01E-05,9.72E-06,8.49E-06,6.67E-06,2.62E-08,4.65E-08,-1.47E-11,-2.61E-11,0.785296598,0.165135943,1.470054377,-1.057363225,0.067869994,0.79111512,0.67196553,0.223058443,0.478134107,0.947164088,0.195917286,1.315363328,-1.300079924,0.069528244,0.657875182,0.837200104,0.253304206,0.568527645,1.112073937,0.234678874,1.355222438,-1.537996707,0.074755659,0.641271357,1.0052961,0.290587638,0.764288821,1.26165316,0.274519572,1.61628301,-1.771126097,0.086336221,0.697172781,1.149079277,0.32766773,1.144766766,3.20E-05,6.42E-05,7.45E-05,5.09E-05
CtrlhFb,20201118,2,17229.34562,9307.68029,128826733.6,5364.12161,2.451221117,0.60192994,44559.88605,43727.43981,1.851089109,0.450278205,0.833505082,0.84594127,0.846657497,0.981318484,1.037558271,14232.91149,9391.279016,1.210528544,0.000128899,6.96E-05,0.011523415,0.00037983,6522.803713,0.008306303,1110264,1540280.071,50770.12629,0.010992932,0.007274414,1.49E-05,8.12E-06,168.9765276,1.511177691,1.833149476,-1.966752349,-1.638110101,0.11548192,0.444124167,1.582949478,0.229253594,0.681296812,1.504874437,0.235475169,0.645042351,-1.676223771,0.19630006,0.592300266,1.986825059,0.37203885,2.447880831,0.127663583,0.276932866,1.672042208,0.25502877,0.538427784,1.597790834,0.265508637,0.373798744,-1.684567595,0.188959011,0.766154103,2.156666695,0.445398967,2.931287652,0.08637316,-0.00417488,2.12721879,0.395424671,-3.210611312,-1.857678614,0.437879169,0.033582315,-3.683634196,0.559189068,-0.951800802,0.224555655,527103,1097,195291,239,0.00446445,0.005893582,0.005067703,0.004914967,0.00562487,0.007146382,0.007723971,0.008017749,0.010127036,0.014607778,3.18E-06,5.29E-06,5.24E-06,4.08E-06,5.91E-06,8.37E-06,9.10E-06,9.05E-06,1.14E-05,1.07E-05,2.48E-07,4.59E-07,4.32E-10,7.99E-10,0.783898624,0.163008064,1.307643282,-1.058758894,0.067649285,0.738019341,0.666015557,0.221956569,0.393194276,0.93414797,0.183603182,1.281665117,-1.301418384,0.068769483,0.694950796,0.821447177,0.241975299,0.480101196,1.104585558,0.223591417,1.302083022,-1.540541239,0.072547084,0.622708406,0.997474814,0.280304779,0.700521586,1.25553107,0.265936551,1.652846239,-1.775041254,0.082738444,0.606466844,1.14541252,0.3236457,1.146173926,2.28E-05,5.63E-05,7.49E-05,5.00E-05
CtrlhFb,20201118,3,20266.98608,12724.38791,196738034.5,6019.438178,2.106381059,0.628306753,53230.15975,52104.06465,1.592767073,0.491498032,0.782841882,0.895353318,0.910657323,0.978844792,1.026152232,18286.75212,11039.85945,1.108287899,0.00010039,6.30E-05,0.009080801,0.000265572,8016.321467,0.008166495,1648678,1833260.888,53614.54891,0.008058626,0.008207926,1.04E-05,1.18E-05,129.0186952,0.981810172,0.887108812,-1.98187025,-1.636760277,0.106640194,0.451750167,1.551753556,0.215841871,0.785309878,1.470629819,0.22316206,0.7390532,-1.624931744,0.192736361,0.301377544,1.975725241,0.353993379,2.412725192,0.11086504,0.541870704,1.593906098,0.243010667,0.842094399,1.524057178,0.245548263,0.817109941,-1.645825552,0.19998864,0.518838092,2.039136516,0.411161479,3.003818129,0.111103164,-1.145625973,1.562420264,1.006918971,-0.657569616,-1.861188427,0.451931923,0.159398723,-3.613414788,0.54907096,-0.867453532,0.227322017,945858,2078,133068,220,0.006085639,0.007180719,0.008213293,0.008767124,0.008077102,0.008223822,0.008172458,0.008339291,0.008222708,0.007876531,1.04E-05,1.18E-05,1.20E-05,1.27E-05,1.23E-05,1.28E-05,1.13E-05,1.12E-05,1.01E-05,4.91E-06,1.03E-07,1.64E-07,2.44E-11,3.88E-11,0.786217135,0.165562104,1.364015787,-1.0557373,0.069520279,0.856038063,0.670095427,0.22327065,0.383227627,0.944748961,0.187679764,1.188590657,-1.298092519,0.070598009,0.701678152,0.832662068,0.241723467,0.441344837,1.110629303,0.224845584,1.161342799,-1.533529216,0.076971576,0.680767967,1.000986186,0.278154958,0.62550081,1.272279049,0.265731257,1.334365952,-1.76411575,0.088021458,0.650386716,1.159616692,0.320177753,0.930144226,2.43E-05,5.38E-05,7.19E-05,5.46E-05
CtrlhFb,20201118,4,21011.76814,9864.440792,162856917.2,6061.953202,3.200140951,0.548865091,50915.09095,50287.59812,2.130051625,0.37654297,0.802055964,0.805854358,0.809271577,0.9876757,1.020783246,14783.02616,11245.43857,1.421344176,0.000126393,5.93E-05,0.013515604,0.000382267,7274.36243,0.009968058,1657106,2246855.791,63548.62459,0.012774547,0.008890133,1.02E-05,7.91E-06,279.0105101,1.43693541,1.293579896,-1.889505357,-1.560277237,0.113639526,0.442867646,1.637204226,0.251733397,0.938630838,1.557075775,0.253151947,0.917771897,-1.715831931,0.178101668,0.50608475,2.055726394,0.442481241,2.482344827,0.113643188,0.06070856,1.763932386,0.358777055,0.728884319,1.685626786,0.36499175,0.848201411,-1.697138683,0.165038219,0.528808225,2.327875962,0.658375534,2.976522153,0.126387039,1.159659483,2.425803776,0.166769058,-0.348528277,-1.780960382,0.439198602,0.099099584,-3.729923032,0.572122123,-1.120884187,0.222184501,925227,1212,523392,210,0.009103197,0.008387751,0.009186987,0.007125966,0.007908262,0.009892507,0.008972589,0.009641809,0.010378396,0.014219411,1.23E-05,9.83E-06,8.11E-06,6.32E-06,6.42E-06,8.82E-06,7.84E-06,7.74E-06,8.67E-06,5.14E-06,4.76E-08,1.01E-07,-1.96E-10,-4.17E-10,0.774741305,0.159706342,1.676298918,-1.061468762,0.065827392,0.867036918,0.660961932,0.224714149,0.571999128,0.933469015,0.19302772,1.64950083,-1.305807804,0.067137797,0.747721211,0.823225137,0.256278895,0.76672121,1.099282318,0.235813952,1.676695187,-1.546092979,0.069883601,0.598294647,0.993171268,0.294532384,0.997417164,1.245622914,0.267155494,1.890001063,-1.783553602,0.078125734,0.651589346,1.135295441,0.323302505,1.300468928,3.75E-05,7.61E-05,7.92E-05,4.85E-05
CtrlhFb,20201118,5,14998.86676,11962.4687,139329043,4902.290579,1.393799789,0.679553996,44186.23026,43220.57692,1.253827043,0.644921384,0.808619872,0.933812392,0.937282264,0.978145831,1.041314744,15848.5314,9154.500382,0.946388431,0.00010338,8.25E-05,0.014424813,0.000715028,6795.742266,0.008689897,1260777,2092829.629,103740.1613,0.008656971,0.008702543,1.14E-05,9.79E-06,90.74877563,0.994763422,1.162232408,-1.96133814,-1.629803419,0.10064829,0.432183011,1.594510307,0.238288981,0.805049792,1.513817891,0.242574445,0.775691153,-1.669170051,0.196634719,0.568960832,2.017000435,0.399699931,2.451556395,0.10123331,0.084432217,1.582164674,0.248349587,0.449386938,1.498061988,0.252138344,0.328226284,-1.61027117,0.202098173,0.610887843,2.05120805,0.412793803,2.929136572,0.082080692,-0.717843802,1.700804308,0.67199635,-1.530435116,-1.844865812,0.441519696,0.202404617,-3.624936326,0.482779439,-0.946314451,0.217120617,747861,1316,100353,168,0.006307885,0.006897349,0.009048753,0.009630161,0.008732842,0.008789519,0.00906681,0.008382601,0.009015826,0.009624799,9.93E-06,8.28E-06,9.37E-06,1.08E-05,8.91E-06,9.23E-06,9.66E-06,1.05E-05,9.81E-06,7.66E-06,1.65E-07,2.06E-07,5.69E-11,7.14E-11,0.781492268,0.161500289,1.495956327,-1.058634976,0.070152217,0.969727763,0.664794051,0.220272736,0.429343698,0.939085804,0.185704571,1.292264944,-1.301229616,0.070366215,0.831595316,0.828669683,0.242073727,0.521898164,1.101287997,0.225182715,1.337148699,-1.539544838,0.075757584,0.8069315,0.992898402,0.279721995,0.741769429,1.255494639,0.263630716,1.600991056,-1.774647366,0.083757851,0.684697188,1.144461806,0.317066461,1.115936676,2.52E-05,5.87E-05,7.72E-05,5.58E-05
CtrlhFb,20201118,6,20570.93844,12939.2151,189921434.8,6322.540161,2.271694438,0.615577452,53653.64897,52540.78105,1.589813469,0.449464912,0.714565371,0.830262341,0.864551359,0.979258299,1.001451728,16619.26956,11444.37476,1.237776328,0.000108156,6.80E-05,0.013916051,0.00058981,7780.850397,0.008377633,1593402,2646793.158,112180.0988,0.010531055,0.007550541,1.15E-05,7.59E-06,229.194747,1.39474176,1.520224923,-1.917144682,-1.563190352,0.161523201,0.515477531,1.619578262,0.254630044,0.744199981,1.53303569,0.254838071,0.749446473,-1.661556608,0.177632747,0.417215685,2.074749789,0.452349069,2.484558006,0.1140879,0.048372617,1.698939649,0.308309019,0.675852724,1.621771365,0.313404745,0.68474832,-1.687463036,0.172203885,0.491033726,2.207566136,0.552082253,2.995292806,0.121702954,2.656894513,2.309864189,0.206454557,-0.326133232,-1.81057632,0.470043135,-0.092284432,-3.718310388,0.509736489,-1.010425938,0.268091563,1035393,1386,351549,266,0.003636914,0.008223358,0.006514875,0.006117241,0.006874245,0.008261583,0.008152084,0.008245713,0.007165018,0.008120639,4.78E-06,7.81E-06,6.31E-06,5.40E-06,6.54E-06,8.48E-06,8.79E-06,7.49E-06,5.63E-06,4.78E-06,1.92E-07,3.05E-07,1.60E-10,2.54E-10,0.780376768,0.164625667,1.574094554,-1.060377125,0.065745856,0.675049192,0.664700936,0.227427232,0.610406429,0.949508921,0.201962653,1.442862996,-1.301409727,0.068104808,0.678296253,0.841539362,0.259851629,0.677084504,1.113559155,0.245743497,1.500704319,-1.538792605,0.073323997,0.593376658,1.006198012,0.299469335,0.913283765,1.265862146,0.286630903,1.613828604,-1.771720064,0.086880257,0.625581496,1.153526025,0.338104071,1.15551408,3.39E-05,6.04E-05,6.14E-05,4.06E-05
CtrlhFb,20201118,7,20098.69696,11287.8192,173414707.6,5968.285891,2.423407094,0.604027187,52869.6521,50628.79439,1.780565103,0.430749113,0.766976839,0.782270864,0.850159908,0.957615425,1.003400397,14051.45179,12383.37426,1.430364439,0.000115507,6.49E-05,0.013976737,0.000305494,7442.265545,0.010562274,1837882,2432013.529,53157.3581,0.01209635,0.009973061,8.53E-06,8.73E-06,347.978974,1.212902443,0.976944157,-1.864456609,-1.538074834,0.113236794,0.43961857,1.659900091,0.256223098,0.850071665,1.575635175,0.256014693,0.820104381,-1.725720132,0.174993398,0.400210769,2.091229922,0.454913707,2.474260186,0.116602128,0.296570671,1.715301412,0.372708931,1.106172617,1.633677923,0.390721469,1.39456391,-1.672591479,0.185676157,0.502789876,2.255161218,0.676387355,2.99806397,0.111631882,0.329249164,2.231564794,0.648338458,-1.625193578,-1.754105194,0.44380711,0.194835722,-3.66551552,0.527084356,-0.944445442,0.22358821,1103994,1355,637227,155,0.010180508,0.009723302,0.010238089,0.009162778,0.009548701,0.009870052,0.010638074,0.009493913,0.009714003,0.012443313,1.35E-05,9.73E-06,1.04E-05,7.14E-06,8.92E-06,8.32E-06,8.68E-06,6.29E-06,8.68E-06,4.70E-06,-4.93E-09,-8.77E-09,-3.12E-10,-5.55E-10,0.773551111,0.162765636,1.898069382,-1.064015442,0.065258091,0.877427571,0.659866188,0.227101836,0.729217432,0.930642493,0.193045042,1.756950796,-1.306543801,0.064915662,0.682294444,0.822663681,0.255006566,0.846874411,1.093897411,0.2359014,1.755746523,-1.547938171,0.06880768,0.584182914,0.987835309,0.294512167,1.033532591,1.235417902,0.265331509,1.991141884,-1.786366573,0.078011542,0.683627391,1.126258116,0.321428123,1.336377488,4.10E-05,8.23E-05,8.09E-05,4.68E-05
CtrlhFb,20201118,8,18279.73226,10416.78764,149266008,5526.416076,2.263183808,0.616230049,47430.92114,46509.9023,1.754833917,0.463122804,0.812703605,0.864415555,0.867121447,0.98058189,1.036752064,15618.85704,9908.013215,1.170362992,0.000118123,6.73E-05,0.011139396,0.000368014,7018.478554,0.00940962,1456156,1723842.096,56950.80857,0.010220839,0.009098044,9.99E-06,9.11E-06,166.5872482,1.123410589,1.096119672,-1.90243429,-1.542723227,0.124555398,0.484266462,1.587554968,0.266831706,1.04809105,1.503328722,0.271822991,1.026146738,-1.628769402,0.204822628,0.35872296,2.043490407,0.451533579,2.450823438,0.124210643,0.356772932,1.646005696,0.325584494,1.069414851,1.559567545,0.330094663,1.050851091,-1.624041519,0.197784656,0.340966219,2.165119746,0.582196158,2.957099506,0.089542361,-0.462117759,1.737067024,0.957869761,-1.23897658,-1.779103821,0.471451314,0.155022733,-3.541477069,0.537677288,-0.806793482,0.247885867,1067658,1283,257982,165,0.008130258,0.008114656,0.007236792,0.00821451,0.008550029,0.009676265,0.00975238,0.008864538,0.010075159,0.01226843,3.34E-06,8.92E-06,7.76E-06,7.16E-06,7.43E-06,8.57E-06,1.01E-05,1.01E-05,9.95E-06,6.65E-06,1.20E-07,2.10E-07,3.17E-10,5.57E-10,0.794783454,0.176929879,1.500723496,-1.056870426,0.067591251,0.706054892,0.680386485,0.237195502,0.550661327,0.954326719,0.205934679,1.419476031,-1.296926837,0.07107252,0.734065598,0.844630713,0.262061741,0.66171586,1.109340193,0.238291752,1.529352707,-1.535627771,0.077723948,0.686938163,0.999905603,0.290794467,0.934402345,1.252878404,0.262636161,1.72161222,-1.771518121,0.0892166,0.825490942,1.140342355,0.314455183,1.194969412,3.96E-05,6.53E-05,6.95E-05,4.81E-05
CtrlhFb,20201118,9,20272.55186,11841.46748,183251147.5,6153.369631,2.187922324,0.622016592,52322.05467,51075.34898,1.711996584,0.454111257,0.777436921,0.856681506,0.882742185,0.976172463,1.018432864,17021.21833,10964.49076,1.191016499,0.000108625,6.34E-05,0.013101614,0.000483419,7707.519245,0.007379716,1377269,2445140.922,90220.08076,0.010244056,0.006279572,1.12E-05,6.63E-06,219.9585667,1.631330309,1.692051112,-1.959093421,-1.578066418,0.174098365,0.555125369,1.58738458,0.248291482,0.638998491,1.495326884,0.252442597,0.569091928,-1.61028721,0.200722081,0.261672485,2.061631822,0.426808298,2.506104309,0.129290137,0.046038303,1.669502804,0.298416772,0.753992507,1.588192097,0.316722238,0.895656588,-1.657129985,0.19197467,0.669522108,2.179025496,0.52186587,2.99094562,0.117591043,0.546476547,2.25735726,0.366010236,-3.099339335,-1.839518493,0.502453884,-0.008689394,-3.639371207,0.536721683,-0.833470327,0.293673293,777999,1184,363480,291,0.007144367,0.005949219,0.005650044,0.005889841,0.006541489,0.00524928,0.006093907,0.007310238,0.007771601,0.010442785,1.27E-05,6.54E-06,5.62E-06,5.68E-06,5.72E-06,5.69E-06,6.85E-06,7.53E-06,7.55E-06,4.38E-06,6.85E-09,1.17E-08,-1.78E-10,-3.04E-10,0.802990972,0.180971644,1.313445496,-1.05398063,0.068776396,0.64995151,0.688831299,0.239246046,0.444507984,0.962704148,0.211346511,1.234583604,-1.293396739,0.071804684,0.633550852,0.851873091,0.265850554,0.563697566,1.12052148,0.244881017,1.358187524,-1.531597731,0.079892004,0.641928707,1.010200379,0.297027088,0.802507717,1.262299548,0.274158222,1.578613942,-1.765569404,0.094604306,0.793004736,1.147189485,0.324554933,1.136735187,2.79E-05,4.79E-05,5.18E-05,3.81E-05
